t_s,x_m,y_m
6.514,0.019542,0.0005250691769258074
6.516,0.019548,0.0005991299415431957
6.518,0.019554,0.0006728122828481139
6.5200000000000005,0.01956,0.0007460696614945716
6.522,0.019566,0.0008188558065519784
6.524,0.019572,0.0008911247447311029
6.526,0.019577999999999998,0.0009628308294216223
6.5280000000000005,0.019584,0.0010339287695235405
6.53,0.01959,0.001104373658054019
6.532,0.019596,0.0011741210005115884
6.534,0.019602,0.0012431267429798293
6.5360000000000005,0.019608,0.00131134729995281
6.538,0.019614,0.0013787395818644706
6.54,0.019620000000000002,0.0014452610223051486
6.542,0.019626,0.0015108696049072811
6.5440000000000005,0.019632,0.0015755238898838818
6.546,0.019638000000000003,0.0016391830402027981
6.548,0.019644000000000002,0.0017018068473802566
6.55,0.01965,0.001763355756877403
6.5520000000000005,0.019656000000000003,0.0018237908930838302
6.554,0.019662000000000002,0.0018830740838721115
6.556,0.019668,0.0019411678847083393
6.558,0.019674,0.0019980356023027576
6.5600000000000005,0.019680000000000003,0.0020536413177860654
6.562,0.019686000000000002,0.0021079499093965438
6.564,0.019692,0.0021609270746637136
6.566,0.019698,0.0022125393520745114
6.5680000000000005,0.019704000000000003,0.0022627541422083263
6.57,0.019710000000000002,0.002311539728327379
6.572,0.019716,0.0023588652964098653
6.574,0.019722,0.002404700954612609
6.5760000000000005,0.019728000000000002,0.002449017752151554
6.578,0.019734,0.0024917876975874375
6.58,0.01974,0.002532983776506042
6.582,0.019746,0.0025725799685809517
6.5840000000000005,0.019752000000000002,0.0026105512640085906
6.586,0.019758,0.0026468736793048508
6.588,0.019764,0.0026815242724537803
6.59,0.01977,0.0027144811573980463
6.5920000000000005,0.019776000000000002,0.0027457235178627564
6.594,0.019782,0.0027752316205033756
6.596,0.019788,0.002802986827369836
6.598,0.019794,0.0028289716076785915
6.6000000000000005,0.0198,0.0028531695488854575
6.602,0.019806,0.0028755653670521236
6.604,0.019812,0.002896144916499817
6.606,0.019818,0.0029148951987440163
6.6080000000000005,0.019824,0.0029318043707045834
6.61,0.01983,0.002946861752186068
6.612,0.019836,0.0029600578326236054
6.614,0.019842,0.0029713842770899535
6.6160000000000005,0.019848,0.002980833931560025
6.618,0.019854,0.0029884008274295164
6.62,0.01986,0.0029940801852848136
6.622,0.019866,0.002997868417921767
6.6240000000000006,0.019872,0.0029997631326114486
6.626,0.019878,0.002999763132611448
6.628,0.019884000000000002,0.0029978684179217674
6.63,0.01989,0.0029940801852848145
6.632000000000001,0.019896,0.0029884008274295177
6.634,0.019902000000000003,0.0029808339315600257
6.636,0.019908000000000002,0.002971384277089955
6.638,0.019914,0.0029600578326236067
6.640000000000001,0.019920000000000004,0.0029468617521860615
6.642,0.019926000000000003,0.002931804370704576
6.644,0.019932000000000002,0.0029148951987440185
6.646,0.019938,0.00289614491649983
6.648000000000001,0.019944000000000003,0.002875565367052126
6.65,0.019950000000000002,0.0028531695488854605
6.652,0.019956,0.0028289716076785945
6.654,0.019962,0.0028029868273698392
6.656000000000001,0.019968000000000003,0.002775231620503363
6.658,0.019974000000000002,0.0027457235178627425
6.66,0.01998,0.002714481157398068
6.662,0.019986,0.0026815242724538037
6.664,0.019992,0.002646873679304875
6.666,0.019998000000000002,0.002610551264008574
6.668,0.020004,0.0025725799685809565
6.67,0.02001,0.002532983776506047
6.672,0.020016,0.0024917876975874423
6.674,0.020022,0.0024490177521515593
6.676,0.020028,0.0024047009546126403
6.678,0.020034,0.0023588652964098705
6.68,0.02004,0.002311539728327385
6.682,0.020046,0.0022627541422083042
6.684,0.020052,0.0022125393520745175
6.686,0.020058,0.0021609270746637196
6.688,0.020064,0.00210794990939655
6.69,0.02007,0.0020536413177860715
6.692,0.020076,0.001998035602302764
6.694,0.020082,0.001941167884708346
6.696,0.020087999999999998,0.0018830740838721184
6.698,0.020094,0.0018237908930838036
6.7,0.0201,0.0017633557568774102
6.702,0.020106,0.001701806847380264
6.704,0.020111999999999998,0.0016391830402028413
6.706,0.020118,0.0015755238898838896
6.708,0.020124,0.0015108696049072887
6.71,0.02013,0.0014452610223051564
6.712,0.020136,0.0013787395818644784
6.714,0.020142,0.0013113472999527797
6.716,0.020148000000000003,0.0012431267429798374
6.718,0.020154000000000002,0.0011741210005116356
6.72,0.02016,0.0011043736580540668
6.722,0.020166000000000003,0.0010339287695235488
6.724,0.020172000000000002,0.0009628308294216307
6.726,0.020178,0.0008911247447311113
6.728,0.020184,0.0008188558065519868
6.73,0.020190000000000003,0.0007460696614945389
6.732,0.020196000000000002,0.000672812282848164
6.734,0.020202,0.0005991299415432463
6.736,0.020208,0.000525069176925858
6.738,0.020214000000000003,0.0004506767673622637
6.74,0.020220000000000002,0.00037599970069290985
6.742,0.020226,0.0003010851445536465
6.744,0.020232,0.00022598041658380467
6.746,0.020238000000000003,0.00015073295453931984
6.748,0.020244,7.539028633002833e-05
6.75,0.02025,2.0577780109495064e-17
6.752,0.020256,-7.539028632998718e-05
6.7540000000000004,0.020262000000000002,-0.00015073295453932133
6.756,0.020268,-0.00022598041658380614
6.758,0.020274,-0.00030108514455364795
6.76,0.02028,-0.00037599970069291137
6.7620000000000005,0.020286000000000002,-0.0004506767673622651
6.764,0.020292,-0.0005250691769258175
6.766,0.020298,-0.0005991299415432058
6.768,0.020304,-0.0006728122828481239
6.7700000000000005,0.02031,-0.0007460696614945816
6.772,0.020316,-0.0008188558065519883
6.774,0.020322,-0.0008911247447311128
6.776,0.020328,-0.000962830829421632
6.7780000000000005,0.020334,-0.0010339287695235503
6.78,0.02034,-0.0011043736580540287
